,0H,1H,2H,3H,4H,5H,6H,7H,8H,9H,10H,11H,12H,13H,14H,15H,16H,17H,18H,19H,20H,21H,22H,23H
01,,,,,,,,0,0,,,,,0,0,0,5,0,40,85,20,10,140,15
02,10,10,5,0,0,5,0,20,65,150,10,,,,,,,,,,,,,
03,,,,,10,60,30,20,0,,,10,0,0,0,,0,5,10,5,,,,
04,,0,0,,,,,,5,480,40,5,10,25,20,5,0,,,,,,,
05,,,,,,,,0,,,,,,0,0,10,5,15,0,0,5,0,,
06,,,,,,,,,,,,,0,0,5,10,10,30,70,125,30,10,100,110
07,60,85,105,75,15,10,10,10,0,0,0,,,,,,,,,,,,,
08,,,,,,,,,0,,0,0,5,10,0,40,90,30,0,5,0,0,5,5
09,0,5,10,5,50,35,20,0,10,25,5,0,,5,10,10,5,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,5,15,0,0,,,,,,,,,,,,,
12,,,,,,0,5,0,,,0,0,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,0,0,,
21,0,0,,,,,0,0,0,15,40,60,110,65,35,65,85,65,50,40,100,110,90,225
22,105,120,105,90,135,175,245,100,100,100,60,20,25,15,5,35,35,5,0,0,30,5,0,
23,,5,0,0,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,0,0,0,5,0,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,0,5,5,15,95,25,15,85,10,0,
28,,,,,,,,,,,,,,,,,0,15,0,,,,,
29,,,,,,,,,,0,,,,,,,,,,,5,0,,
30,,,,,,,,,,,,,,,,,0,25,0,20,30,105,5,
